System,Subject,Category,Item,Year,No. of Cases
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Same-sex ex-lover,2008,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Friend,2008,78
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Caregiver (Non-relative),2008,4
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Employer / employee / colleague,2008,82
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Teacher / tutor,2008,4
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Stranger,2008,472
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Others,2008,38
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Unknown,2008,0
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Chinese,2008,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Indonesian,2008,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Filipino,2008,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,White,2008,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Indian,2008,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Pakistani,2008,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Nepalese,2008,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Japanese,2008,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Thai,2008,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Other Asian,2008,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,African,2008,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Others,2008,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Unknown,2008,
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Central & Western,2008,47
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Southern,2008,10
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Island,2008,13
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Eastern,2008,23
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Wan Chai,2008,71
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Kowloon City,2008,18
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Yau Tsim Mong,2008,90
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Sham Shui Po,2008,32
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Wong Tai Sin,2008,26
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Sai Kung,2008,11
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Kwun Tong,2008,57
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Shatin,2008,45
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Tai Po,2008,19
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,North,2008,22
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Yuen Long,2008,50
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Tsuen Wan,2008,45
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Kwai Tsing,2008,48
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Tuen Mun,2008,35
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Outside Hong Kong/Unknown,2008,31
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Outside Hong Kong ,2008,
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Unknown,2008,
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Physical abuse,2009,503
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Neglect,2009,102
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Sexual abuse,2009,331
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Psychological  abuse,2009,15
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Multiple abuse,2009,42
CPR,Newly Registered Child Protection Cases,Sex of Maltreated Child,Female,2009,589
CPR,Newly Registered Child Protection Cases,Sex of Maltreated Child,Male,2009,404
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Parent,2009,569
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Sibling ,2009,27
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Step-parent,2009,12
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Grandparent,2009,34
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Relative,2009,23
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Family friend / Friend,2009,79
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Family friend / Parent of peer,2009,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Caregiver,2009,28
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Teacher,2009,14
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,School teacher / personnel,2009,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Staff of boarding section of school,2009,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Tutor / Coach,2009,14
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Religious personnel,2009,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Schoolmate / friend / peer,2009,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Co-tenant / Neighbour,2009,9
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Inmate of residential service,2009,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unrelated person (including strangers) ,2009,103
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unidentified Person / Others,2009,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unidentified person,2009,29
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Other,2009,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,Chinese,2009,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,Pakistani,2009,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,Filipino,2009,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,Indonesian,2009,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,Indian,2009,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,African,2009,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,New Zealander ,2009,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,Australian,2009,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,Thai,2009,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,Vietnamese,2009,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,Others,2009,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,Unknown,2009,
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Central & Western,2009,19
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Southern,2009,21
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Islands,2009,15
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Eastern,2009,33
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Wan Chai,2009,10
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kowloon City,2009,33
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Yau Tsim Mong,2009,42
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Sham Shui Po,2009,51
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Wong Tai Sin,2009,59
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Sai Kung,2009,55
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kwun Tong,2009,78
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Shatin,2009,79
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tai Po,2009,34
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,North,2009,47
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Yuen Long,2009,145
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tsuen Wan,2009,30
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kwai Tsing,2009,63
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tuen Mun,2009,117
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Outside Hong Kong,2009,10
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Unknown,2009,52
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Physical violence,2009,3880
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Sexual violence,2009,12
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Psychological abuse,2009,662
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Multiple violence,2009,253
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Sex of Victim,Female,2009,4012
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Sex of Victim,Male,2009,795
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Husband,2009,3285
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Wife,2009,631
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Male Cohabitant,2009,300
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Female Cohabitant,2009,53
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Estranged husband / ex-husband,2009,145
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Estranged wife / ex-wife,2009,29
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Boyfriend,2009,284
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Girlfriend,2009,80
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Heterosexual cohabitant,2009,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Same-sex cohabitant,2009,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Heterosexual ex-cohabitant,2009,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Same-sex ex-cohabitant,2009,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Ethnicity of Victim,Chinese,2009,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Ethnicity of Victim,Indonesian,2009,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Ethnicity of Victim,Filipino,2009,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Ethnicity of Victim,White,2009,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Ethnicity of Victim,Indian,2009,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Ethnicity of Victim,Pakistani,2009,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Ethnicity of Victim,Nepalese,2009,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Ethnicity of Victim,Japanese,2009,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Ethnicity of Victim,Thai,2009,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Ethnicity of Victim,Other Asian,2009,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Ethnicity of Victim,African,2009,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Ethnicity of Victim,Others,2009,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Ethnicity of Victim,Unknown,2009,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Central & Western,2009,112
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Southern,2009,79
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Island,2009,95
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Eastern,2009,232
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Wan Chai,2009,70
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Kowloon City,2009,186
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Yau Tsim Mong,2009,218
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Sham Shui Po,2009,277
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Wong Tai Sin,2009,339
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Sai Kung,2009,230
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Kwun Tong,2009,444
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Shatin,2009,267
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Tai Po,2009,222
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,North,2009,287
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Yuen Long,2009,678
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Tsuen Wan,2009,208
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Kwai Tsing,2009,407
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Tuen Mun,2009,391
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Outside Hong Kong/Unknown,2009,65
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Rape/Unlawful Sexual Intercourse,2009,100
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Indecent assault,2009,277
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Forced masturbation,2009,3
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Forced oral sex,2009,0
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Unlawful Buggery,2009,2
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Others,2009,4
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Multiple Abuse,2009,10
CISSCBSV,Newly Reported Sexual Violence Cases,Sex of Victim,Female,2009,390
CISSCBSV,Newly Reported Sexual Violence Cases,Sex of Victim,Male,2009,6
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Parent/child/sibling/in-laws,2009,18
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Parent,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Child,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Sibling,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,In-law,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Other relative,2009,6
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Heterosexual lover,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Same-sex lover,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Heterosexual ex-lover,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Same-sex ex-lover,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Friend,2009,80
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Caregiver (Non-relative),2009,1
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Employer / employee / colleague,2009,56
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Teacher / tutor,2009,5
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Stranger,2009,198
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Others,2009,32
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Unknown,2009,0
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Chinese,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Indonesian,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Filipino,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,White,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Indian,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Pakistani,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Nepalese,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Japanese,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Thai,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Other Asian,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,African,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Others,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,Ethnicity of Victim,Unknown,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Central & Western,2009,39
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Southern,2009,7
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Island,2009,12
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Eastern,2009,15
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Wan Chai,2009,27
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Kowloon City,2009,16
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Yau Tsim Mong,2009,60
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Sham Shui Po,2009,21
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Wong Tai Sin,2009,9
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Sai Kung,2009,9
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Kwun Tong,2009,33
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Shatin,2009,23
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Tai Po,2009,3
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,North,2009,20
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Yuen Long,2009,14
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Tsuen Wan,2009,7
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Kwai Tsing,2009,18
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Tuen Mun,2009,37
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Outside Hong Kong/Unknown,2009,26
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Outside Hong Kong ,2009,
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Unknown,2009,
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Physical abuse,2010,488
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Neglect,2010,113
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Sexual abuse,2010,334
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Psychological  abuse,2010,18
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Multiple abuse,2010,48
CPR,Newly Registered Child Protection Cases,Sex of Maltreated Child,Female,2010,628
CPR,Newly Registered Child Protection Cases,Sex of Maltreated Child,Male,2010,373
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Parent,2010,580
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Sibling ,2010,13
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Step-parent,2010,43
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Grandparent,2010,15
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Relative,2010,28
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Family friend / Friend,2010,66
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Family friend / Parent of peer,2010,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Caregiver,2010,25
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Teacher,2010,10
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,School teacher / personnel,2010,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Staff of boarding section of school,2010,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Tutor / Coach,2010,14
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Religious personnel,2010,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Schoolmate / friend / peer,2010,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Co-tenant / Neighbour,2010,8
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Inmate of residential service,2010,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unrelated person (including strangers) ,2010,101
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unidentified Person / Others,2010,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unidentified person,2010,95
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Other,2010,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,Chinese,2010,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,Pakistani,2010,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,Filipino,2010,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,Indonesian,2010,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,Indian,2010,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,African,2010,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,New Zealander ,2010,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,Australian,2010,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,Thai,2010,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,Vietnamese,2010,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,Others,2010,
CPR,Newly Registered Child Protection Cases,Ethnicity of Maltreated Child,Unknown,2010,
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Central & Western,2010,18
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Southern,2010,37
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Islands,2010,22
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Eastern,2010,47
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Wan Chai,2010,14
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kowloon City,2010,33
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Yau Tsim Mong,2010,39
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Sham Shui Po,2010,49
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Wong Tai Sin,2010,62
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Sai Kung,2010,53
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kwun Tong,2010,98
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Shatin,2010,68
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tai Po,2010,21
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,North,2010,32
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Yuen Long,2010,134
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tsuen Wan,2010,44
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kwai Tsing,2010,65
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tuen Mun,2010,115
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Outside Hong Kong,2010,10
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Unknown,2010,40
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Physical violence,2010,2677
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Sexual violence,2010,9
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Psychological abuse,2010,285
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Multiple violence,2010,192
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Sex of Victim,Female,2010,2643
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Sex of Victim,Male,2010,520
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Husband,2010,2110
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Wife,2010,402
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Male Cohabitant,2010,179
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Female Cohabitant,2010,39
